Country,Powerplant_Name,gppd_idnr,Capacity_MW,Latitude,Longitude,PrimaryFuel,Owner,Source
United States of America,Hoffer Plastics,USA0054523,7.2,-34.8386,-88.3022,Gas,Hoffer Plastics,U.S. Energy Information Administration
United States of America,Hoffmann LaRoche,USA0010123,10.6,-34.8386,-74.155,Gas,PB Nutclif Master  LLC,U.S. Energy Information Administration
United States of America,Hofstra University,USA0051035,2.2,-34.8386,-73.6003,Gas,Hofstra University,U.S. Energy Information Administration
United States of America,Hog Bayou Energy Center,USA0055241,280,-34.8386,-88.0575,Gas,Mobile Energy LLC,U.S. Energy Information Administration
United States of America,Hog Creek Wind Project,USA0061330,66,-34.8386,-83.7287,Wind,Hog Creek Wind Project LLC,U.S. Energy Information Administration
United States of America,Hoge Lumber,USA0010739,3.7,-34.8386,-84.3183,Waste,Hoge Lumber Co,U.S. Energy Information Administration
United States of America,Hoisington,USA0001286,14,-34.8386,-98.7747,Gas,City of Hoisington - KS,U.S. Energy Information Administration
United States of America,Hoist,USA0007115,3.4,-34.8386,-87.5686,Hydro,Upper Peninsula Power Company,U.S. Energy Information Administration
United States of America,Holcomb,USA0000108,348.7,-34.8386,-100.9725,Coal,Sunflower Electric Power Corp,U.S. Energy Information Administration
United States of America,Holcomb Rock,USA0056314,1.8,-34.8386,-79.3006,Hydro,Holcomb Rock Company,U.S. Energy Information Administration
United States of America,Holcombe,USA0004007,33.9,-34.8386,-91.1272,Hydro,Northern States Power Co - Minnesota,U.S. Energy Information Administration
United States of America,Holden,USA0007848,321.3,-34.8386,-93.9983,Gas,Associated Electric Coop  Inc,U.S. Energy Information Administration
United States of America,Holdrege Solar Center,USA0059713,4,-34.8386,-96.8203,Solar,Enerparc Inc.,U.S. Energy Information Administration
United States of America,Holland Energy Facility,USA0055334,702.1,-34.8386,-88.7584,Gas,NAES Corporation - WA,U.S. Energy Information Administration
United States of America,Holland Energy Park,USA0059093,149.4,-34.8386,-86.0922,Gas,City of Holland,U.S. Energy Information Administration
United States of America,Holland Solar,USA0060763,3,-34.8386,-75.1086,Solar,Marina Energy LLC,U.S. Energy Information Administration
United States of America,Hollidays Bridge Hydro,USA0003261,4,-34.8386,-82.375,Hydro,Northbrook Carolina Hydro LLC,U.S. Energy Information Administration
United States of America,Hollister Solar LLC,USA0059268,1.5,-34.8386,-121.4289,Solar,Hollister Solar LLC,U.S. Energy Information Administration
United States of America,Holliston Solar,USA0060731,1,-34.8386,-71.4682,Solar,Marina Energy LLC,U.S. Energy Information Administration
United States of America,Hollow Dam Power Partnership,USA0010124,1,-34.8386,-75.3361,Hydro,Ampersand Hollow Dam Hydro LLC,U.S. Energy Information Administration
United States of America,Holly,USA0000502,2.9,-34.8386,-102.0737,Oil,Town of Holly - CO,U.S. Energy Information Administration
United States of America,Holstein Plant,USA0058623,20,-34.8386,-79.3408,Solar,Holstein Holdings  LLC,U.S. Energy Information Administration
United States of America,Holsum Elm Dairy,USA0058663,1.2,-34.8386,-88.2172,Biomass,Holsum Elm Dairy,U.S. Energy Information Administration
United States of America,Holt Dam,USA0000012,46.9,-34.8386,-87.4495,Hydro,Alabama Power Co,U.S. Energy Information Administration
United States of America,Holter,USA0002186,38.4,-34.8386,-112.0047,Hydro,NorthWestern Energy,U.S. Energy Information Administration
United States of America,Holton,USA0001287,21.5,-34.8386,-95.7315,Oil,City of Holton - KS,U.S. Energy Information Administration
United States of America,Holtsville,USA0008007,567,-34.8386,-73.0663,Oil,National Grid Generation LLC,U.S. Energy Information Administration
United States of America,Holtsville Solar Project,USA0061902,1.2,-34.8386,-73.034,Solar,Agilitas Energy  LLC,U.S. Energy Information Administration
United States of America,Holtwood,USA0003145,247.3,-34.8386,-76.3318,Hydro,BIF III Holtwood LLC,U.S. Energy Information Administration
United States of America,Holyoke Solar Cooperative at Mueller,USA0057931,2.7,-34.8386,-72.6824,Solar,Holyoke Solar LLC,U.S. Energy Information Administration
United States of America,Homer City Generating Station,USA0003122,2012,-34.8386,-79.1961,Coal,NRG Homer City Services LLC,U.S. Energy Information Administration
United States of America,Hometown Bio Energy LLC,USA0058563,8,-34.8386,-93.9064,Biomass,Hometown Bio Energy LLC,U.S. Energy Information Administration
United States of America,Honda Torrance,USA0058300,1.1,-34.8386,-118.315,Gas,Bloom Energy,U.S. Energy Information Administration
United States of America,Honea Path,USA0056132,2.9,-34.8386,-82.3652,Oil,Central Electric Power,U.S. Energy Information Administration
United States of America,Hood Farm Solar  LLC,USA0061256,4.9,-34.8386,-77.497,Solar,CD Global Solar Holdings  LLC,U.S. Energy Information Administration
United States of America,Hooksett,USA0002359,1.6,-34.8386,-71.4657,Hydro,Public Service Co of NH,U.S. Energy Information Administration
United States of America,Hoonah,USA0007463,2,-34.8386,-135.4307,Oil,Inside Passage Elec Coop  Inc,U.S. Energy Information Administration
United States of America,Hooper Bay,USA0006319,2.1,-34.8386,-166.1019,Oil,Alaska Village Elec Coop  Inc,U.S. Energy Information Administration
United States of America,Hooper Solar,USA0060008,52,-34.8386,-105.9908,Solar,Solar Star Colorado III  LLC,U.S. Energy Information Administration
