Teacher_Name,University_Currently_Teaching,Department,Province_University_Located,Designation,Terminal_Degree,Graduated_from,Country,Year,Area_of_Specialization,Other_Information,
Yasir Faheem,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,Galil√©e - Universit√© Paris 13,France,2012,Routing   medium access control   resource allocation and security related issues in: Internet of Things   cloud computing   Wireless Ad hoc Networks (Sensor networks   vehicular networks   cognitive radio networks   delay tolerant networks)   smart grids.A†Moreover   I am interested in applications of algorithmic game theory to various problems in wireless networks and global software development.,NINGUNA,NINGUNA
Munam Ali Shah,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,University of Bedfordshire,UK,2014,A†MAC protocol design   Internet of Things   and security issues in wireless communication systems,NINGUNA,NINGUNA
Malik Ahmad Kamran,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,Vienna University of Technology,Austria,2011,Collaborative systems   Social Network Analysis   Information privacy   and Access Control,NINGUNA,NINGUNA
Saif Ur Rehman Malik,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,North Dakota State University,USofA,0,A†Formal Methods (verification   modeling   and analysis) of Large Scale Systems   such as Cloud Computing System,NINGUNA,NINGUNA
Abdul Wahid,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,Kyungpook National University,SouthKorea,0,Vehicular Ad-hoc Network   Wireless Sensor Network   Underwater Wireless Sensor Network   Cyber Physical Systems   Software defined Networking   Information-centric Networking.,NINGUNA,NINGUNA
Farhana Jabeen,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,The University of Manchester,UK,2011,query processing in wireless sensor network   distributed spatial analysis   distributed computing using ad hoc wireless networks.,NINGUNA,NINGUNA
Zara Hamid,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,0,Wireless Sensor Networks. She is interested in the design and performance evaluation of communication protocols for wireless ad hoc and sensor networks. She is also interested in Information Centric Networks.,NINGUNA,NINGUNA
Umar Nauman,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,0,Artificial Intelligence   Data Mining   Machine Learning   Software Engineering   Requirement Engineering.,NINGUNA,NINGUNA
Ghufran Ahmed,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,Capital University of Science & Technology,Pakistan,2013,routing issues onA†Wireless Sensor Networks or Wireless Body Area Networks.,NINGUNA,NINGUNA
Azfar Shakeel,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,2011,A†Computer Security and Application of Cellular Automata.,NINGUNA,NINGUNA
Muzaffar Iqbal,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Masters,Gomal University,Pakistan,0,Object Oriented Programming   Visual Programming   Software Project Management and Model Transformation.,NINGUNA,NINGUNA
Muhammad Rashid Mukhtar,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,0,Software Project Management and Software Engineering.,NINGUNA,NINGUNA
Assad Abbas,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,North Dakota State University,USofA,2016,Smart Health   Big Data Analytics   Recommendation Systems   Patent Analysis   and Social Network Analysis,NINGUNA,NINGUNA
Javed Iqbal,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,University of Malaya,Malaysia,0,Software Process Improvement   Requirements Engineering   Software Development OutsourcingA†,NINGUNA,NINGUNA
Tahir Mustafa Madni,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,KTH Royal Institute of Technology,Sweden,0,A†interactive systems   human computer interaction   ubiquitous computing and multimodal interfaces.,NINGUNA,NINGUNA
Muzafar Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,University of Technology,Malaysia,0,n HCI in general and usability evaluation  user experienceA†,NINGUNA,NINGUNA
Mariam Akbar,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,COMSATS Institute of Information Technology,Pakistan,2016,Underwater Wireless Sensor Networks and Energy Management.,NINGUNA,NINGUNA
