Teacher_Name,University_Currently_Teaching,Department,Province_University_Located,Designation,Terminal_Degree,Graduated_from,Country,Year,Area_of_Specialization,Other_Information,
Ms.Momina Moetesum,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MS,"Bahria University,Islamabad",Pakistan,2011,Image Analysis and Pattern Classification,PhD in progress from Bahria University,
Ms. Anum Ayaz,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MS,"Bahria University,Islamabad",Pakistan,2013,SINF,NINGUNA,NINGUNA
Ms. Romana Talat,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MS,"Bahria University,Islamabad",Pakistan,2016,Image Processing,NINGUNA,NINGUNA
Mr. Usman Shafique,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MS,COMSATS Institute of Information Technology,Pakistan,2016,Information Security,NINGUNA,NINGUNA
Ms. Naila Shaheen,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MPhil,Quaid-i-Azam University,Pakistan,2011,Non-Newtonian Fluid   Analytic Solutions Homotopy   Analysis Method,NINGUNA,NINGUNA
Mr. Talha Naqash,"Bahria University,Islamabad",Computer Science,Capital,Lecturer,PhD,University of Genova,Italy,2017,SINF,NINGUNA,NINGUNA
Ms. Iqra Javed,"Bahria University,Islamabad",Computer Science,Capital,Lecturer,MS,National University of Sciences and Technology,Pakistan,2013,Text mining   Bi-lingual Social network Analysis   Semantic analysis.,NINGUNA,NINGUNA
Zain ul Abideen,"Bahria University,Islamabad",Computer Science,Capital,Lecturer,BS,"University of Engineering and Technology,Taxila",Pakistan,2004,SINF,"MS in progress from UET,Taxila",
Mr. Umar Khatak,"Bahria University,Islamabad",Computer Science,Capital,Lecturer,MS,University of¬†Liverpool John Moores University,UK,2009,Information Systems,NINGUNA,NINGUNA
Ms. Anum Kaleem,"Bahria University,Islamabad",Computer Science,Capital,Lecturer,MS,Bahria University,Pakistan,2015,Online Reputation Management Systems,NINGUNA,NINGUNA
Ms. Maryam Khalid Multani,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MS,National University of Sciences and Technology,Pakistan,2007,Internet of Things; Cloud Computing; Ad hoc Networks; Wireless Sensor Networks; Optical Networks; Algorithm Design and Optimization;,NINGUNA,NINGUNA
Mr. Saeed ur Rehman,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,Bahria University,Pakistan,2013,Educational data mining,MS in progress from Bahria University,
Mr. Sabahuddin Waqar,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,Bahria University,Pakistan,2013,SINF,NINGUNA,NINGUNA
Mr. Zain Bin Khalid,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,MS,National University of Sciences and Technology,Pakistan,2017,Introduction to EMCEMI  A† Document Writing using LATEX ,NINGUNA,NINGUNA
Ms. Ramsha Baig,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,Bahria University,Pakistan,2015,Cloud Computing    Artficial Intelligence,MS in progress from Bahria University,
Mr. Ramis Ali,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,MS,"Bahria University,Islamabad",Pakistan,0,web ontologies,NINGUNA,NINGUNA
Ms. Umarah Qaseem,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,COMSATS Institute of Information Technology,Pakistan,2016,Natural Language Processing   Artificial Intelligence and Robotics.,MS in progress from National University of Sciences and Technology,
Mr. Junaid Aslam,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,"Bahria University,Islamabad",Pakistan,2016,SINF,MS in progress from Bahria University,
Mr. Sikandar Hayat,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,"Bahria University,Islamabad",Pakistan,2015,SINF,NINGUNA,NINGUNA
Mr. Basma Batool Khan,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,"Bahria University,Islamabad",Pakistan,2016,SINF,MS in progress from Bahria University,
Mrs. Maryam Bibi,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,"Bahria University,Islamabad",Pakistan,2016,Image Processing,NINGUNA,NINGUNA
Prof. Dr. Muhammad Abdul Qadir,Capital University of Science and Technology,Computer Science,Capital,Professor/Dean,PhD,Guildford,UK,1995,Semantic Computing: Semantic Digital Libraries   Ontology evaluation   Ontology mapping and merging   Semantic Cache Query Processing   Semantic Extraction from Multimedia Objects   Semantic Search Engines   Semantic based Learning Systems   Semantic based Query Refinement for WWW   Deep Web Mining Distributed Computing: Networks (IP and Transport Services)   Bandwidth Aggregation for Heterogeneous Networks   Fault Tolerance Cryptography and Cryptanalysis   Algorithms   Bioinformatics ,NINGUNA,NINGUNA
Dr. Nayyer Masood,Capital University of Science and Technology,Computer Science,Capital,Professor/HoD,PhD,University of Bradford,UK,1999,Multidatabase Systems Schema Translation   Schema Evolution   Schema Integration   Data Integration   Data Mining,NINGUNA,NINGUNA
Dr. Muhammad Tanvir Afzal,Capital University of Science and Technology,Computer Science,Capital,Associate Professor,PhD,Graz University of Technology,Austria,2010,Digital Libraries; WebText Mining; Semantic Web; Information Visualization,NINGUNA,NINGUNA
Dr. Muhammad Azhar Iqbal,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,PhD,"Huazhong University of Science and Technology (HUST), Wuhan",China,2012,Wireless Ad Hoc Networks   development and evaluation of Network Coding Aware and Network Coding Based routing protocols suitable to highly dynamic and delay tolerant networks,NINGUNA,NINGUNA
Dr. Muhammad Aleem,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,PhD,University of Innsbruck,Austria,2012,Parallel and distributed computing. Parallel programming environments for multi-many-core shared and distributed memory parallel computers. Run-time environments and scheduling mechanisms for parallel machines based on multi-cores. Performance analysis of parallel applications.,NINGUNA,NINGUNA
Dr. Muhammad Arshad  Islam,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,PhD,University of Konstanz,germany,2011,Routing in Mobile Ad hoc Networks Social Network Analysis Application of Graph Theory,NINGUNA,NINGUNA
Shahzad Rafique ,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,2004,Software   System Engineering   Computational Intelligence (Soft Computing)   Agents and Multi Agent Systems   Autonomous Systems   Component Based Development,NINGUNA,NINGUNA
Humera Aftab Sheikh,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,Mphil,"National University of Modern Languages,Islamabad",Pakistan,2007,SINF,NINGUNA,NINGUNA
Mr Qamar Mahmood,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,MSc,"University of Engineering and Technology,Taxila",Pakistan,2006,Semantic Computing   Digital Libraries   Ontology Engineering,NINGUNA,NINGUNA
Salman Ahmed,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,Mohammad Ali Jinnah University,Pakistan,2013,Mobile Agents; Semantic Web; RDF Graphs,NINGUNA,NINGUNA
Mr. Qamar  uz Zaman,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,Centre for Advanced Studies in Engineering,Pakistan,2013,Requirements Engineering   Formal Methods.,NINGUNA,NINGUNA
Muhammad Ansar Javed,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,National University of Sciences and Technology,Pakistan,2015,Parallel Programming   Big Data   Games Bases Learning.,NINGUNA,NINGUNA
Bilal Ahmad,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,"University of Engineering and Technology,Taxila",Pakistan,2010,Wireless sensor networks particularly MAC layer design.,NINGUNA,NINGUNA
Mr. Ibrar  Arshad,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,Blekinge Institute of Technology,Sweden,2012,Software Testing   Software Requirements Engineering   Agile Development   Global Software Engineering   Formal Methods,NINGUNA,NINGUNA
Mr. Syed Awais Haider,Capital University of Science and Technology,Computer Science,Capital,Lecturer,Mphil,Quaid-i-Azam University,Pakistan,2012,SINF,NINGUNA,NINGUNA
Ms. Asma  Naz,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,Quaid-i-Azam University,Pakistan,2013,Corpus linguistics   statistics   and the application of corpus methods in the study of speech and writing   learner language   collocations   phraseology and vocabulary. I am also interested in corpus design and corpus tools development   Experimental Phonetics and Phonology   Forensic Phonetics   Psycholinguistics   Second Language Acquisition   Implicit and Explicit L2 Knowledge   Prosody   Tone.,NINGUNA,NINGUNA
Mr. Muhammad Shaheryar,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,National University of Sciences and Technology,Pakistan,2013,Machine Learning   Artificial Intelligence   Data Mining   Classification   Image Processing   Automata,NINGUNA,NINGUNA
Ms. Mammona  Qudsia,Capital University of Science and Technology,Computer Science,Capital,Lecturer,MS,"FAST‚Äì National University of Computer and Emerging Sciences,Lahore",Pakistan,2015,Machine Learning   Artificial Intelligence   Computer Vision   Data Mining   Classification   Image Processing,NINGUNA,NINGUNA
Asifullah Khan ,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,Head of Department,Post Doc,Gwangju Institute of Science and Technology,SouthKorea,0,Digital Image Processing   Pattern Recognition   Machine Learning   and Evolutionary Algorithms,NINGUNA,NINGUNA
Mutawarra Hussain,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,Dean,PhD,University of Birmingham,UK,0,Medical Image Processing   Pattern Recognition   Natural Language Processing,NINGUNA,NINGUNA
Naeem Ahmed,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,Head,MSc,Quaid-i-Azam University,Pakistan,0,Design and development of PC controlled educational systems   Nuclear Electronics and Instrumentation,NINGUNA,NINGUNA
Anila Usman,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,Controller of Examinations,PhD,Manchester University,UK,0,Numerical Computing   ParallelDistributed Computing,NINGUNA,NINGUNA
Javaid Khurshid,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,PhD,Harbin Institute of Technology,China,0,Artificial Intelligence   Mobile Robots   Multi Robot Systems,NINGUNA,NINGUNA
Abdul Majid,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,PhD,Ghulam Ishaq Khan Institute of Science and Technology,Pakistan,0,Pattern Recognition   Machine learning   Bioinformatics   Combining Classifiers   Applications of Artificial Neural Network and Support Vector Machine in Computational Materials Science   Genetic Algorithm and Genetic Programming,NINGUNA,NINGUNA
Muhammad Hanif Durad,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,PhD,Beijing Institute of Technology,China,0,Computer Networks and Security   Parallel and Grid Computing   Computer Architecture,NINGUNA,NINGUNA
Shahzad Ahmad Qureshi,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,PhD,Pakistan Institute of Engineering and Applied Sciences,Pakistan,0,Medical Image Reconstruction   Pattern Recognition   Evolutionary Computation   Digital Subtraction Angiography   Embedded Systems   Computational Metallurgy and Materials Science,NINGUNA,NINGUNA
Aneela Zameer Jaafery,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,PhD,University of Paisley,UK,0,Modeling and Simulation of Physical Systems   Stochastic Optimization   Evolutionary Computing,NINGUNA,NINGUNA
Irfan ul Haq,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,PhD,University of Vienna,Austria,0,Cloud Computing   Internet of Things   Information Security   Web Mining   Cognitive Computer Science   Self Organizing Systems,NINGUNA,NINGUNA
Tauseef Jamal,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,PhD,Univ of Porto/Univ of Aveiro Portugal/Uni of Minho,Portugal,0,Ad-Hoc Networks   Wireless Pervasive Systems   Cooperative Networking   Cooperative Sensing and Inference   Self-organized Networked Systems,NINGUNA,NINGUNA
Muhammad Irfan Hameed,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,MS,National University of Sciences and Technology,Pakistan,0,Establishment of Software Services Infrastructure   Development of an Integrated Set of Information Systems   Development of Internet and Database Application Software   Distant Electronic Classroom Utilizing Low Bandwidth Internet   Data Warehousing   Information Security Management,NINGUNA,NINGUNA
Naeem Akhtar,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,PhD,Vienna University of Technology,Austria,0,Pose Tracking   Image Registration and Alignment   Visual Surveillance and Navigation   3D Reconstruction   Virtual and Augmented Reality,NINGUNA,NINGUNA
Ghulam Raza,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,PhD,University of Konstanz,germany,0,Automatic lexical acquisition   Computational grammar development   Theoretical linguistics   Parallel corpora development and statistical machine translation,NINGUNA,NINGUNA
Muhammad Abid,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,PhD,Tsinghua University,China,0,High performance computing using GPUs   CMPs; Parallel programming using OpenCL and CUDA; Architectures of GPUsCMPs,NINGUNA,NINGUNA
Hidayatullah Khan,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,MSc,University of Peshawar,Pakistan,0,Software Design   Development   Cyber Security   Database Security,NINGUNA,NINGUNA
Kamran Safdar,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,PhD,Universit√§t Salzburg,Austria,0,Computational geometry   in particular   straight skeletons and Voronoi diagrams; general-purpose computing on graphics processing units (GPGPU); computer graphics and geometric modeling; algorithms and mathematical proofs; parallel and high-performance computing,NINGUNA,NINGUNA
Nauman Shamim,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,MS,National University of Sciences and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Fayyaz-ul-Amir Afsar Minhas,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,SINFO,PhD,Colorado State University,USofA,0,Machine Learning (Artificial   Computational Intelligence)   Digital Signal Processing   Biomedical signal analysis   Biometrics,NINGUNA,NINGUNA
Junaid Hassan,"University of Sargodha,Mandi Bahauddin Campus",Computer Science,Punjab,Lecturer,BS,"University of Engineering and Technology,Taxila",Pakistan,0,Web Design and Development  eCommerce Applications Development  Wireless and Mobile Computing  Advanced Heterogeneous Networks,NINGUNA,NINGUNA
Adnan Iqbal,NAML-Mianwali,Computer Science,Punjab,Associate Professor/HoD,PhD,National University of Sciences and Technology,Pakistan,2010,Computer Networking  Cloud Computing,NINGUNA,NINGUNA
Ms. Ambreen Hanif,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,MS,Lahore University of Management Sciences,Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. Gul Aftab Ahmed,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,MS,University of Manchester,UK,0,SINF,NINGUNA,NINGUNA
Junaid Akhtar,NAML-Mianwali,Computer Science,Punjab,Assistant Professor,Post Doc,University of Virginia,USofA,2014,Computational Semiotics  Sentiment Analysis  Evolutionary Computation  Charles Sanders Peirce,NINGUNA,NINGUNA
Dr.Muhammad Adil Raja,NAML-Mianwali,Computer Science,Punjab,Associate Professor,PhD,University of Limerick,Ireland,2008,Real-time Non-intrusive Quality Estimation of VoIP,NINGUNA,NINGUNA
Mr. Muhammad Kamran Nishat,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,MS,Lahore University of Management Sciences,Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. Muhammad Sarmad Ali,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,Post Doc,University of Limerick,Ireland,2010,machine learning approaches for data intensive computing,NINGUNA,NINGUNA
Noman Javed,NAML-Mianwali,Computer Science,Punjab,Assistant Professor,PhD,University of Orleans,France,0,SINF,NINGUNA,NINGUNA
Sheraz Anjum,NAML-Mianwali,Computer Science,Punjab,Senior Lecturer,MS,National University of Sciences and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Dr.Nadeem Ahmad,University of Lahore-PakPattan,Computer Science and IT,Punjab,Head of Department,PhD,Politecnico di Torino,Italy,2014,human machine interfaces,NINGUNA,NINGUNA
Dr. Ibrar Hussain,University of Lahore-PakPattan,Computer Science and IT,Punjab,Associate Professor,PhD,Zhejiang University,China,2014,Human-Computer Interaction   sonification   ubiquitous computing   accessibility   and location-based services,NINGUNA,NINGUNA
Muhammad Nouman Zafar,University of Lahore-PakPattan,Computer Science and IT,Punjab,Jr.Lecturer,MS,National University of Sciences and Technology,Pakistan,0,Big data and IoT,NINGUNA,NINGUNA
Syed Zishan Ali,University of Lahore-PakPattan,Computer Science and IT,Punjab,Jr.Lecturer,MS,COMSATS Institute of Information Technology,Pakistan,0,Data mining and Big Data Analytics,NINGUNA,NINGUNA
Shafiq Hussain,University of Sahiwal,Computer Science,Punjab,HEC Approved PhD Supervisor,PhD,University of Sunderland,UK,0,SINF,NINGUNA,NINGUNA
Dr. Mohammad Jamil Sawar,Barani Institute of Information and Technology,Computer Science,Punjab,Professor,PhD,University of Leeds,UK,0,SINF,NINGUNA,NINGUNA
Dr. Umair Abdullah,Barani Institute of Information and Technology,Computer Science,Punjab,Associate Professor,PhD,Foundation University,Pakistan,0,SINF,NINGUNA,NINGUNA
Dr. Mohsin Raza,Barani Institute of Information and Technology,Computer Science,Punjab,Associate Professor,PhD,"International Islamic University,Islamabad",Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. Ikram Afzal,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor, MCS,Barani Institute of Information Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. Muhammad Asif,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,PhD,Abasyn University,Pakistan,0,SINF,"PhD in progress from Abasyn University,Pakistan
",
Mr. Munir Ahmad,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,0,SINF,PhD in progress,
"Mrs. Sumaira Asad,",Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MIT,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. Muhammad Ayub,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MBA,Preston,Pakistan,0,SINF,NINGUNA,NINGUNA
"Mr. Farhan Sabir Ujager,",Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,0,SINF,PhD in progress from Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,
Mr. Farrukh Abbas,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,COMSATS Institute of Information Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Mrs. Maryam Amin,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,0,SINF,NINGUNA,NINGUNA
"Mr. Naveed Ashraf,",Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,University of Bergen,Norway,0,SINF,NINGUNA,NINGUNA
Ms. Tayyaba Baseer,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,Bahria University,Pakistan,0,SINF,NINGUNA,NINGUNA
Syeda Zer Afshan Gohar,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. Shahid Jamil,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. Adil Shaheen,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,Centre for Advanced Studies in Engineering,Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. Zahid Ahmed,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,0,SINF,NINGUNA,NINGUNA
Ms. Noor ul Ain,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,BSC,"University of Engineering and Technology,Taxila",Pakistan,0,SINF,MS in progress from National University of Sciences and Technology,
Mr. Umar Farooq,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,0,SINF,NINGUNA,NINGUNA
Hafiz Muhammad Shafiq Gondal,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MSCS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. Muhammad Ihsan,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MBA,National University of Modern Languages,Pakistan,0,SINF,MS in progress from IQRA,
Mr. Muhammad Nauman Iqbal,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,0,SINF,MS in progress from UAAR,
Mr. Saeed Iqbal,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,PhD,COMSATS Institute of Information Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
"Mr. Azhar Jamil,",Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,BS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,0,SINF,MS in progress from UAAR,
"Mr. Muhammad Zeeshan Muzaffar,",Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,0,SINF,PhD in progress from ISRA,
Mr. Amir Rashid,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,0,SINF,MSCS in progress from UAAR,
Mr. Adeel Sohail,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MBA,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Ms. Tehreem Ijaz,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MA,National University of Modern Languages,Pakistan,0,SINF,NINGUNA,NINGUNA
"Ms. Kainat Anjum,",Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MA,Universtiy of Lahore,Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. Suleman Shah,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MS,"University of Engineering and Technology,Taxila",Pakistan,0,SINF,NINGUNA,NINGUNA
"Mr. Shahid Rashid,",Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MS,"HITEC University,Taxila",Pakistan,0,SINF,NINGUNA,NINGUNA
Ms. Shamsa Kanwal,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. Afrasiab Kaikobad,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,BSIT,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,0,SINF,NINGUNA,NINGUNA
Ms. Maria Niaz,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MSCS,National University of Sciences and Technology,Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. Jawad-Ur-Rehman,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MS,Bahria University,Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. M.Atta Ul Aleem,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MIT,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,0,SINF,NINGUNA,NINGUNA
Ms. Ammarah Abbas,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MSC,Allama Iqbal Open University,Pakistan,0,SINF,NINGUNA,NINGUNA
Ms. Nadia Ghaffar,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,0,SINF,NINGUNA,NINGUNA
Mr. M. Azeem Mushtaq,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,0,SINF,MSCS in progress UAAR,
Ms. Tahira Mahboob,Fatima Jinnah Women University,Software Engineering,Punjab,Assistant Professor,MS,"University of Engineering and Technology,Taxila",Pakistan,2012,SINF,NINGUNA,NINGUNA
Dr. Sumaira Sultan Minhas,Fatima Jinnah Women University,Software Engineering,Punjab,Assistant Professor,PhD,University of Manchester,UK,2016,SINF,NINGUNA,NINGUNA
Aftab Ahmed,FAST(Faisalabad),Computer Science,Punjab,Professor/HoD,PhD,"University of Wales,Aberystwyth",UK,1996,curriculum development   professional ethics; software design architectures; software process modeling and improvement; and software testing and quality assurance.,NINGUNA,NINGUNA
Hashim Yasin,FAST(Faisalabad),Computer Science,Punjab,Assistant Professor,PhD,¬†University of Bonn,germany,2016,A†vision-based 3D motion retrieval and reconstruction   3D pose estimation   action recognition   machine learning   motion synthesis and analysis etc.A†,NINGUNA,NINGUNA
Rana Asif Rehman,FAST(Faisalabad),Computer Science,Punjab,Assistant Professor,PhD,¬†Hongik University,SouthKorea,2016,Design and development of energy efficient routing protocols  Cross layer architectures  Caching and forwarding schemes for cognitive radio ad hoc networks  named data networking based wireless networks,NINGUNA,NINGUNA
Maria Maqsood,FAST(Faisalabad),Computer Science,Punjab,Assistant Professor,MS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,2013,Security Issues in Agile Methodologies,NINGUNA,NINGUNA
Rizwan Ul Haq,FAST(Faisalabad),Computer Science,Punjab,Assistant Professor,MS,Lahore University of Management Sciences,Pakistan,2005,SINF,NINGUNA,NINGUNA
Shakeel Anjum,FAST(Faisalabad),Computer Science,Punjab,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,2009,SINF,NINGUNA,NINGUNA
Adeel Ashraf Cheema,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,2008,Recommender Systems Intelligent Information Systems Geographical Information Systems and Remote Sensing Data Warehousing and Data Mining,NINGUNA,NINGUNA
Aneela Safdar,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,Pakistan Institute of Engineering and Applied Sciences,Pakistan,2016,Network Security and Monitoring  Digital Forensics  Real time Visualization  Complex Event Processing.,NINGUNA,NINGUNA
Asma Sattar,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,University of Engineering and Technology,Pakistan,2015,Machine Learning Prediction and Recommendation   Data Mining   Mobile Application Development,NINGUNA,NINGUNA
Asra Ashraf,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,National University of Sciences and Technology,Pakistan,2015,SINF,NINGUNA,NINGUNA
Hafiz Tayyeb Javed,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,2016,Game Intelligence  Adaptive Price Formulation  Data Mining   Machine Learning,NINGUNA,NINGUNA
Muhammad Atif,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,Ghulam Ishaq Khan Institute of Science and Technology,Pakistan,2016,Machine Learning   Data mining  Applications of computational intelligence in games  Effective computing,NINGUNA,NINGUNA
Muhammad Saad,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,"Skolkovo Institute of Science and Technology,¬†",Russian Federation,2015,SINF,NINGUNA,NINGUNA
Nasreen Akhtar,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,Agricultural University Peshawar,Pakistan,2016,Data Mining,NINGUNA,NINGUNA
Rida Ghafoor,FAST(Faisalabad),Computer Science,Punjab,Lecturer,MS,"University of Engineering and Technology,Taxila",Pakistan,2015,SINF,NINGUNA,NINGUNA
